orf,gene,ThisStudy,Li2019,Dokladal2021,Baro2018,Plank_Cdc55AID,n_published
YJL128C,NA,0,0,0,1,0,1
YJL129C,NA,0,0,0,1,0,1
YJL141C,NA,0,0,0,1,0,1
YJL155C,FBP26,0,0,0,1,0,1
YJL165C,NA,0,0,0,0,1,1
YJL176C,NA,0,0,0,1,0,1
YJL198W,PHO90,0,0,0,1,0,1
YJL207C,LAA1,0,0,0,1,0,1
YJR052W,RAD7,0,0,0,1,0,1
YJR060W,NA,0,0,0,1,0,1
YJR070C,LIA1,0,0,0,1,0,1
YJR076C,CDC11,0,0,0,1,0,1
YJR083C,ACF4,0,0,0,1,0,1
YJR089W,NA,0,0,0,1,0,1
YJR090C,GRR1,0,0,0,1,0,1
YJR091C,JSN1,0,0,0,1,0,1
YJR092W,NA,0,0,0,0,1,1
YJR098C,YJR098C,0,0,0,1,0,1
YJR132W,NMD5,0,0,0,1,0,1
YJR138W,IML1,0,0,0,1,0,1
YJR139C,HOM6,0,0,0,1,0,1
YJR145C,NA,0,0,0,0,1,1
YKL025C,PAN3,0,0,0,1,0,1
YKL035W,UGP1,0,0,0,1,0,1
YKL064W,NA,0,0,0,0,1,1
YKL079W,NA,0,0,0,1,0,1
YKL088W,CAB3,0,0,0,1,0,1
YKL101W,HSL1,0,0,0,1,0,1
YKL105C,NA,0,0,0,1,0,1
YKL116C,PRR1,0,0,0,1,0,1
YKL140W,TGL1,0,0,0,1,0,1
YKL146W,NA,0,0,0,0,1,1
YKL152C,GPM1,0,0,0,1,0,1
YKL171W,NNK1,0,0,0,1,0,1
YKL172W,NA,0,0,0,1,0,1
YKL173W,SNU114,0,0,0,1,0,1
YKL178C,STE3,0,1,0,0,0,1
YKL185W,ASH1,0,0,0,1,0,1
YKR001C,VPS1,0,0,0,1,0,1
YKR007W,NA,0,0,0,1,0,1
YKR029C,SET3,0,0,0,1,0,1
YKR031C,SPO14,0,0,0,1,0,1
YKR048C,NAP1,0,0,0,1,0,1
YKR062W,TFA2,0,0,0,1,0,1
YKR067W,GPT2,0,0,0,1,0,1
YKR069W,NA,0,0,0,1,0,1
YKR078W,NA,0,0,0,1,0,1
YKR086W,NA,0,0,0,0,1,1
YKR089C,TGL4,0,0,0,1,0,1
YKR091W,SRL3,0,0,0,1,0,1
YKR100C,NA,0,0,0,0,1,1
YLL001W,DNM1,0,0,0,1,0,1
YLL010C,NA,0,0,0,1,0,1
YLL013C,PUF3,0,0,1,0,0,1
YLL022C,HIF1,0,0,0,1,0,1
YLL024C,SSA2,0,0,0,1,0,1
YLL028W,TPO1,0,1,0,0,0,1
YLL029W,NA,0,0,0,1,0,1
YLL038C,NA,0,0,0,0,1,1
YLL040C,NA,0,0,0,1,0,1
YLL055W,YCT1,0,0,0,1,0,1
YLL061W,MMP1,0,0,0,1,0,1
YLR006C,SSK1,0,0,0,1,0,1
YLR020C,YEH2,0,0,0,1,0,1
YLR025W,NA,0,0,0,1,0,1
YLR045C,STU2,0,0,0,1,0,1
YLR072W,LAM6,0,0,0,1,0,1
YLR079W,SIC1,0,0,0,1,0,1
YLR106C,NA,0,0,0,1,0,1
YLR116W,NA,0,0,0,1,0,1
YLR133W,CKI1,0,0,0,1,0,1
YLR150W,STM1,0,0,0,1,0,1
YLR166C,SEC10,0,0,0,1,0,1
YLR177W,NA,0,0,0,1,0,1
YLR181C,NA,0,0,0,1,0,1
YLR182W,NA,0,0,0,1,0,1
YLR190W,MMR1,0,0,0,1,0,1
YLR219W,MSC3,0,0,0,1,0,1
YLR220W,NA,0,0,0,0,1,1
YLR221C,NA,0,0,0,1,0,1
YLR223C,IFH1,0,0,1,0,0,1
YLR248W,NA,0,0,0,1,0,1
YLR258W,GSY2,0,0,0,1,0,1
YLR260W,NA,0,0,0,1,0,1
YLR305C,NA,0,0,0,0,1,1
YLR310C,CDC25,0,0,0,1,0,1
YLR314C,CDC3,0,0,0,1,0,1
YLR319C,BUD6,0,0,0,1,0,1
YLR323C,CWC24,0,0,0,1,0,1
YLR324W,NA,0,0,0,1,0,1
YLR327C,TMA10,0,0,0,1,0,1
YLR336C,NA,0,0,0,1,0,1
YLR337C,VRP1,0,0,0,1,0,1
YLR350W,ORM2,0,0,1,0,0,1
YLR357W,RSC2,0,0,0,1,0,1
YLR386W,NA,0,0,0,1,0,1
YLR398C,NA,0,0,0,0,1,1
YLR399C,BDF1,0,0,0,1,0,1
YLR403W,NA,0,0,0,0,1,1
YLR405W,NA,0,0,0,0,1,1
YLR410W-A,TY2A-LR1,0,0,0,1,0,1
YLR419W,NA,0,0,0,1,0,1
YLR429W,NA,0,0,0,1,0,1
YLR430W,NA,0,0,0,0,1,1
YLR450W,HMG2,0,0,0,1,0,1
YML008C,NA,0,0,0,1,0,1
YML016C,NA,0,0,0,0,1,1
YML018C,NA,0,0,0,0,1,1
YML027W,YOX1,0,0,0,1,0,1
YML029W,USA1,0,1,0,0,0,1
YML034W,SRC1,0,0,0,1,0,1
YML057W,CMP2,0,0,1,0,0,1
YML075C,NA,0,0,0,1,0,1
YML092C,PRE8,0,0,0,1,0,1
YML097C,VPS9,0,0,0,1,0,1
YML098W,TAF13,0,1,0,0,0,1
YML101C,CUE4,0,0,0,1,0,1
YML112W,NA,0,0,0,1,0,1
YML127W,NA,0,0,0,1,0,1
YMR011W,NA,0,0,0,1,0,1
YMR031C,NA,0,0,0,0,1,1
YMR036C,NA,0,0,0,0,1,1
YMR037C,MSN2,0,0,0,1,0,1
YMR042W,NA,0,0,0,1,0,1
YMR054W,NA,0,0,0,1,0,1
YMR076C,NA,0,0,0,1,0,1
YMR102C,YMR102C,0,0,0,1,0,1
YMR104C,YPK2,0,0,0,1,0,1
