nutrient,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
P,ERG6,P25087,ratio,(Intercept),-0.1834723201746716,0.17481456663687098,-1.0495253553771908,0.3064539099820508,0.40502994219788635
P,ERG6,P25087,ratio,samplingTime,-0.050668992522730306,0.010126735945051363,-5.003487085835466,6.818163722610987e-5,2.4499232394003276e-4
P,ERG6,P25087,ratio,genotypeWT,-0.07322349628789568,0.24722513103823815,-0.29618144393488155,0.7701450888619417,0.6485550043022918
P,ERG6,P25087,ratio,samplingTime:genotypeWT,-0.006995514031809986,0.014321367316062763,-0.4884669094384485,0.6305320444246449,0.6086727974186993
P,ERG7,P38604,intensity,(Intercept),26.078075097849315,0.4725142108339259,55.19003344222159,2.4657781282812215e-23,1.2338408426288898e-22
P,ERG7,P38604,intensity,samplingTime,-0.11468722799842,0.027372013302181326,-4.189944916813276,4.512019799285888e-4,0.0014119703271871238
P,ERG7,P38604,intensity,genotypeWT,-0.2018192403656824,0.6682360053753582,-0.3020179079580088,0.7657566412175619,0.6475025375512488
P,ERG7,P38604,intensity,samplingTime:genotypeWT,0.019447948069068684,0.0387098724414016,0.5024027939773938,0.6208710649857527,0.604907004942476
P,ERG7,P38604,normed_intensity,(Intercept),25.55431529358593,0.3060115999448503,83.50766865763048,6.455041033353485e-27,4.2710599661645933e-26
P,ERG7,P38604,normed_intensity,samplingTime,-0.06448113088955616,0.017726776025485908,-3.6374990464623234,0.0016390877849270856,0.004573416634493893
P,ERG7,P38604,normed_intensity,genotypeWT,-0.20878621976437653,0.4327657548854972,-0.4824462596852609,0.6347270950483197,0.6103603190827597
P,ERG7,P38604,normed_intensity,samplingTime:genotypeWT,0.0261388336095967,0.025069447072392406,1.0426569654335116,0.30954739847708157,0.40762001566853145
P,ERG8,P24521,intensity,(Intercept),27.078716801690653,0.3994674649181679,67.78703944572258,4.1244011209466604e-25,2.2544161888839353e-24
P,ERG8,P24521,intensity,samplingTime,-0.029244823728208094,0.023140528925534868,-1.263792362841686,0.22083704581577324,0.3181517386018808
P,ERG8,P24521,intensity,genotypeWT,-0.052349384997009675,0.5649323066140717,-0.09266488105586725,0.9270917497000797,0.6723404522311764
P,ERG8,P24521,intensity,samplingTime:genotypeWT,-0.005519459100209351,0.03272564984697832,-0.16865850261240825,0.8677592885320209,0.6676652356852792
P,ERG8,P24521,normed_intensity,(Intercept),26.554956997427286,0.2986271168878951,88.92346172097974,1.8428896218867837e-27,1.3146112995125573e-26
P,ERG8,P24521,normed_intensity,samplingTime,0.020961273380655593,0.017299004407553022,1.2117040314472414,0.23974781718275645,0.3379661868379831
P,ERG8,P24521,normed_intensity,genotypeWT,-0.05931636439570986,0.42232251879523686,-0.1404527624170318,0.8897072028624036,0.6698255294392712
P,ERG8,P24521,normed_intensity,samplingTime:genotypeWT,0.0011714264403188802,0.024464486648713438,0.04788273128880407,0.9622846335483952,0.6748178329692731
P,ERG8,P24521,normed_ratio,(Intercept),0.06964221591697549,0.056828753651339096,1.2254749830385283,0.23463239281382048,0.33255631239151157
P,ERG8,P24521,normed_ratio,samplingTime,-0.017061268462589603,0.003292001309644326,-5.182643279213317,4.523065769874029e-5,1.6652214508387783e-4
P,ERG8,P24521,normed_ratio,genotypeWT,-0.016384514243992628,0.08036799414648331,-0.20386864718969186,0.8405162653192801,0.663305680276723
P,ERG8,P24521,normed_ratio,samplingTime:genotypeWT,-0.002750977569801907,0.004655592899448998,-0.5908973634974597,0.5612082815966808,0.58062520815218
P,ERG8,P24521,ratio,(Intercept),0.014188665304004384,0.10983859024283595,0.12917741635827137,0.8985075342445481,0.6704414048522254
P,ERG8,P24521,ratio,samplingTime,-0.045753667255677546,0.006362778693816771,-7.1908311537127805,5.811268390132009e-7,2.4983171312420353e-6
P,ERG8,P24521,ratio,genotypeWT,-0.04895765262327199,0.15533522399335972,-0.31517418499595967,0.7558942543244067,0.645948094999403
P,ERG8,P24521,ratio,samplingTime:genotypeWT,-0.004559219521124986,0.008998327923174246,-0.5066740799013555,0.6179239460026194,0.6040220889992417
P,ERG9,P29704,intensity,(Intercept),29.00704771676596,0.5263278691168143,55.112125765713685,2.5359890465595012e-23,1.2681527690422911e-22
P,ERG9,P29704,intensity,samplingTime,-0.07594225077748837,0.030489354826701037,-2.490779198482153,0.021655482462487302,0.04586520612072589
P,ERG9,P29704,intensity,genotypeWT,0.11813085185481906,0.7443400107599301,0.15870549768541123,0.8754925281586592,0.668508342584946
P,ERG9,P29704,intensity,samplingTime:genotypeWT,-0.00944901218706739,0.043118459103926206,-0.21914076670256055,0.8287613222022279,0.6610031433028972
P,ERG9,P29704,normed_intensity,(Intercept),28.483287912502576,0.34839420364269896,81.75591790761838,9.852098834520941e-27,6.373339422760222e-26
P,ERG9,P29704,normed_intensity,samplingTime,-0.025736153668624504,0.020181934337341067,-1.2752074820205364,0.2168505467240385,0.31393385899468956
P,ERG9,P29704,normed_intensity,genotypeWT,0.11116387245612473,0.49270380784367895,0.22562007982571528,0.8237864692626201,0.6601028170298743
P,ERG9,P29704,normed_intensity,samplingTime:genotypeWT,-0.002758126646539286,0.028541565254791006,-0.09663543754231577,0.9239777213542986,0.6721572433778145
P,ERG9,P29704,normed_ratio,(Intercept),-0.2840445985771014,0.12930242144979104,-2.1967461660213203,0.03999279801099658,0.07819205381296984
P,ERG9,P29704,normed_ratio,samplingTime,-0.028434407369158823,0.0074902881623001155,-3.796170020837649,0.001132600066418908,0.0032642486171855145
P,ERG9,P29704,normed_ratio,genotypeWT,0.19474478332728315,0.18286123806197632,1.064986682750552,0.2995710753255608,0.3985443752712598
P,ERG9,P29704,normed_ratio,samplingTime:genotypeWT,-0.005361231276777132,0.010592867105207472,-0.5061171091386147,0.6183078733002072,0.6040869676456753
P,ERG9,P29704,ratio,(Intercept),-0.3296037915582442,0.19455117741622965,-1.6941752598755968,0.10574879955135286,0.17683882107923476
P,ERG9,P29704,ratio,samplingTime,-0.054520893604490174,0.011270047109892616,-4.837681073811382,9.991225125546328e-5,3.513877937454757e-4
P,ERG9,P29704,ratio,genotypeWT,0.1638842301892494,0.2751369136776862,0.5956461021483811,0.5580927042449749,0.5793985686542125
P,ERG9,P29704,ratio,samplingTime:genotypeWT,-0.011367110808346487,0.015938253471393844,-0.7131967645481548,0.4839634817140652,0.5384104117244626
P,ERP1,Q05359,intensity,(Intercept),27.738625623247042,0.35877169779288653,77.31553462519814,2.9999662033915176e-26,1.8362242796928834e-25
P,ERP1,Q05359,intensity,samplingTime,-0.07214878512204416,0.020783086432684245,-3.4715144622879657,0.0024087811301018065,0.006475680971166216
P,ERP1,Q05359,intensity,genotypeWT,-0.17139586787800254,0.5073798008143215,-0.33780585589516954,0.7390294239932946,0.6424864176024161
P,ERP1,Q05359,intensity,samplingTime:genotypeWT,0.00744217362217237,0.029391722701074333,0.2532064451567632,0.8026931750329471,0.6558775910218502
P,ERP1,Q05359,normed_intensity,(Intercept),27.214865818983657,0.18236803327979695,149.2304617730314,5.962488808279092e-32,1.046272221967152e-30
P,ERP1,Q05359,normed_intensity,samplingTime,-0.021942688013180174,0.010564296519288611,-2.077060973545806,0.0508950478430618,0.09591734792327315
P,ERP1,Q05359,normed_intensity,genotypeWT,-0.17836284727669297,0.2579073460075968,-0.6915772273948304,0.49715320305388233,0.5464538105912272
P,ERP1,Q05359,normed_intensity,samplingTime:genotypeWT,0.014133059162700275,0.014940171414508839,0.9459770420689582,0.35545008434222536,0.44729067840804715
P,ERP1,Q05359,normed_ratio,(Intercept),0.016552748285242957,0.07405752317841478,0.2235120427315008,0.8254042066559735,0.6603545282574127
P,ERP1,Q05359,normed_ratio,samplingTime,-0.017120818910639612,0.004290037131345951,-3.9908323369844934,7.187660631741683e-4,0.0021606659937707345
P,ERP1,Q05359,normed_ratio,genotypeWT,0.036163541957651084,0.10473315367467405,0.34529220871151844,0.7334798169476132,0.6419057110145351
P,ERP1,Q05359,normed_ratio,samplingTime:genotypeWT,-0.004533593478259375,0.006067028694233612,-0.7472510361733272,0.4636075555739666,0.5260631205562277
P,ERP1,Q05359,ratio,(Intercept),-0.022178261363510917,0.1289547689007445,-0.17198480949999884,0.8651778234901842,0.6671068468715786
P,ERP1,Q05359,ratio,samplingTime,-0.04714275950587524,0.007470149190859986,-6.310819007946482,3.6836766397184695e-6,1.5137917260009441e-5
P,ERP1,Q05359,ratio,genotypeWT,-0.01987934585331623,0.1823695831121211,-0.10900581946877828,0.9142841451913775,0.6718302060332567
P,ERP1,Q05359,ratio,samplingTime:genotypeWT,-0.006311121369642294,0.010564386298664599,-0.5973959292306508,0.5569469552380553,0.5788289391781721
P,ERV46,P39727,intensity,(Intercept),27.167912317244472,0.4783028889013311,56.80064441937529,1.391919311018404e-23,7.031706807313311e-23
P,ERV46,P39727,intensity,samplingTime,-0.0758124677041694,0.027707342419126653,-2.7361869123844698,0.012727028003705017,0.028711490415519857
P,ERV46,P39727,intensity,genotypeWT,-0.12438359578525554,0.6764224324064942,-0.1838844926279848,0.8559556485292185,0.6654725194043243
P,ERV46,P39727,intensity,samplingTime:genotypeWT,-0.005861080895885351,0.03918409942644428,-0.149578042667222,0.8825956243630367,0.6688666861111356
P,ERV46,P39727,normed_intensity,(Intercept),26.6441525129811,0.5206301147254617,51.17674095174282,1.1048649181925783e-22,5.403866765899451e-22
P,ERV46,P39727,normed_intensity,samplingTime,-0.025606370595305575,0.030159292776890056,-0.8490375017986757,0.40590875745411925,0.4859738144190252
P,ERV46,P39727,normed_intensity,genotypeWT,-0.13135057518395177,0.7362821692246085,-0.17839706117327184,0.8602058257746432,0.6664094375613984
P,ERV46,P39727,normed_intensity,samplingTime:genotypeWT,8.29804644642799e-4,0.042651680876658854,0.0194553796611779,0.9846706203780192,0.6755434478719711
P,ESC1,Q03661,intensity,(Intercept),27.339294135946865,0.48588097066826763,56.26747246006596,1.678977533889875e-23,8.446919127456098e-23
