genotype,Gene names,Protein IDs,data,term,estimate,std.error,statistic,p.value,qvalue
WT,STO1,P34160,normed_intensity,(Intercept),25.70694110926425,0.20470519824743164,125.58030440532198,1.873328421126103e-30,2.1384731138909182e-29
WT,STO1,P34160,normed_intensity,samplingTime,-0.007200532432952122,0.011858253743449237,-0.6072169299741841,0.5505393521027468,0.43041177438378936
WT,STO1,P34160,normed_intensity,nutrientP,-0.5993989669322327,0.28949686764979093,-2.070485155153165,0.05156541736374772,0.0729842165394782
WT,STO1,P34160,normed_intensity,samplingTime:nutrientP,-0.014497026977004937,0.01677010327004743,-0.8644566311584756,0.397587063749982,0.35141597818064596
WT,STT3,P39007,intensity,(Intercept),26.886246251060278,0.41056534543155127,65.48591241377119,8.204497786551392e-25,3.750193760403782e-24
WT,STT3,P39007,intensity,samplingTime,-0.07320148109525945,0.023783411882435216,-3.077837673463537,0.005935583788984128,0.011239783006260315
WT,STT3,P39007,intensity,nutrientP,0.2061886481752873,0.5806270797496944,0.35511373025208237,0.7262218788123298,0.5006522367093326
WT,STT3,P39007,intensity,samplingTime:nutrientP,4.3928038323196093e-4,0.0336348236436453,0.013060285015496288,0.9897091007382954,0.5734752164268582
WT,STT3,P39007,normed_intensity,(Intercept),26.327919417180148,0.2645114978193269,99.53412095213828,1.9431146250119905e-28,1.4380503741661775e-27
WT,STT3,P39007,normed_intensity,samplingTime,-0.004177446476681474,0.01532273965710469,-0.272630519748113,0.7879322527290435,0.5212482833635369
WT,STT3,P39007,normed_intensity,nutrientP,0.23378869839335784,0.37407574761971346,0.6249768927309025,0.5390520405984147,0.42549659713739474
WT,STT3,P39007,normed_intensity,samplingTime:nutrientP,-0.011687771585954057,0.021669626235789517,-0.5393619372470095,0.5955913714723611,0.44958878023814247
WT,STT3,P39007,normed_ratio,(Intercept),0.08415061114101853,0.08768628486150927,0.9596781443520507,0.3486763366730917,0.321447323627507
WT,STT3,P39007,normed_ratio,samplingTime,-0.010492703683064658,0.005079530097967088,-2.065683927586926,0.052059886553103535,0.07355236367005048
