orf,gene,log2FC_thisStudy,paulo_pvalue,log2FC_Paulo,paulo_category
YPL032C,SVL3,-0.2720877616312954,NA,NA,detected_only
YGR037C,ACB1,-0.27089760318674566,NA,NA,detected_only
YHR074W,QNS1,0.2706818951223269,NA,NA,detected_only
YPR165W,RHO1,0.27041406876165525,NA,NA,detected_only
YKR082W,NUP133,0.2692058503862822,NA,NA,detected_only
YBL024W,NCL1,0.26788301261194103,NA,NA,detected_only
YER052C,HOM3,0.2663075512427113,NA,NA,detected_only
YNL138W,SRV2,0.26490919038861793,NA,NA,detected_only
YIL126W,STH1,-0.26469944584792937,NA,NA,detected_only
YLR270W,DCS1,0.26439095728977124,NA,NA,detected_only
YMR091C,NPL6,0.263383956402132,NA,NA,detected_only
YIL094C,LYS12,0.2630555341649315,NA,NA,detected_only
YDR177W,UBC1,-0.2624097728467727,NA,NA,detected_only
YDL131W,LYS21,-0.2617803063250652,NA,NA,detected_only
YFR010W,UBP6,0.26098485783720804,NA,NA,detected_only
YHR069C,RRP4,0.2605181769826501,NA,NA,detected_only
YAL005C,SSA1,0.26047221124451997,NA,NA,detected_only
YGL027C,CWH41,-0.2598954162615924,NA,NA,detected_only
YPL009C,RQC2,-0.25854472694718195,NA,NA,detected_only
YJL012C,VTC4,0.2577885889407372,NA,NA,detected_only
YAL016W,TPD3,0.2576620128558339,NA,NA,detected_only
YER090W,TRP2,-0.2570872201794373,NA,NA,detected_only
YNL118C,DCP2,0.2564160481972535,NA,NA,detected_only
YMR235C,RNA1,0.2559330797856053,NA,NA,detected_only
YMR062C,ARG7,0.255810238873455,NA,NA,detected_only
YDR172W,SUP35,-0.2548660604671487,NA,NA,detected_only
YMR237W,BCH1,0.2545904571517684,NA,NA,detected_only
YIL133C,RPL16A,-0.25172004460297615,NA,NA,detected_only
YOR241W,MET7,0.25045498120302245,NA,NA,detected_only
YAL012W,CYS3,0.25011887302050473,NA,NA,detected_only
YML035C,AMD1,0.24904927563581108,NA,NA,detected_only
YDR155C,CPR1,-0.24726608329636945,NA,NA,detected_only
YBL041W,PRE7,0.24709715270526822,NA,NA,detected_only
YMR178W,NA,0.24641167680907017,NA,NA,detected_only
YDR098C,GRX3,0.24639975117206986,NA,NA,detected_only
YLR095C,IOC2,0.2438770800867485,NA,NA,detected_only
YER136W,GDI1,-0.2418257502299856,NA,NA,detected_only
YPR108W,RPN7,0.24169381763915193,NA,NA,detected_only
YGR132C,PHB1,0.24099859980003824,NA,NA,detected_only
YDR129C,SAC6,0.24094651460182315,NA,NA,detected_only
YJR105W,ADO1,-0.24071638245764623,NA,NA,detected_only
YNL241C,ZWF1,0.240657668715543,NA,NA,detected_only
YLR200W,YKE2,-0.23886989258174518,NA,NA,detected_only
YDL168W,SFA1,0.2363981357998005,NA,NA,detected_only
YMR314W,PRE5,0.23359427149896272,NA,NA,detected_only
YLL029W,FRA1,-0.23300110410603647,NA,NA,detected_only
YDL084W,SUB2,0.23138845897679636,NA,NA,detected_only
YDR190C,RVB1,0.23133458989711392,NA,NA,detected_only
YNL121C,TOM70,0.23095337797784568,NA,NA,detected_only
YFR051C,RET2,0.23070518345185773,NA,NA,detected_only
YBR089C-A,NHP6B,0.23063589464677697,NA,NA,detected_only
YCR051W,NA,-0.22895165532261608,NA,NA,detected_only
YBR189W,RPS9B,-0.22823101395241321,NA,NA,detected_only
YPR163C,TIF3,-0.22794468172326746,NA,NA,detected_only
YNL290W,RFC3,0.227376419214206,NA,NA,detected_only
YKL007W,CAP1,0.22717018029844024,NA,NA,detected_only
YMR300C,ADE4,0.22602019808125184,NA,NA,detected_only
YOL109W,ZEO1,0.22593234248035232,NA,NA,detected_only
YBR080C,SEC18,-0.22537468195057223,NA,NA,detected_only
YJL109C,UTP10,-0.22535547143102516,NA,NA,detected_only
YER122C,GLO3,-0.22491837441364035,NA,NA,detected_only
YHR068W,DYS1,-0.2243318105573688,NA,NA,detected_only
YBR221C,PDB1,0.22381105780392535,NA,NA,detected_only
YGR209C,TRX2,-0.22279429404771914,NA,NA,detected_only
YBR159W,IFA38,0.2226741914837421,NA,NA,detected_only
YPR103W,PRE2,0.22172283301331827,NA,NA,detected_only
YOR254C,SEC63,-0.22164416323366903,NA,NA,detected_only
YFL005W,SEC4,-0.21982526255008736,NA,NA,detected_only
YER025W,GCD11,-0.2182248353203252,NA,NA,detected_only
YHR042W,NCP1,-0.21741881751109915,NA,NA,detected_only
YDL171C,GLT1,0.2170690719142982,NA,NA,detected_only
YGR020C,VMA7,-0.21680986748907732,NA,NA,detected_only
YIL051C,MMF1,0.21655358332259317,NA,NA,detected_only
YNL113W,RPC19,-0.2165367268841173,NA,NA,detected_only
YGL120C,PRP43,0.2163903904507168,NA,NA,detected_only
YOR122C,PFY1,0.21602045292501193,NA,NA,detected_only
YER099C,PRS2,0.21420904372801947,NA,NA,detected_only
YAL021C,CCR4,0.21417553958818883,NA,NA,detected_only
YOL143C,RIB4,0.21336452061140176,NA,NA,detected_only
YNL098C,RAS2,0.212978686269974,NA,NA,detected_only
YOL123W,HRP1,-0.21233862113139534,NA,NA,detected_only
YGL125W,MET13,0.21187189955771168,NA,NA,detected_only
YPL145C,KES1,-0.21164689211394602,NA,NA,detected_only
YML106W,URA5,-0.21142508208785804,NA,NA,detected_only
YJL050W,MTR4,0.21085317818377852,NA,NA,detected_only
YGL103W,RPL28,-0.20908127820292718,NA,NA,detected_only
YOR243C,PUS7,0.20845626469140918,NA,NA,detected_only
YDL051W,LHP1,-0.2082633106870782,NA,NA,detected_only
YPL228W,CET1,0.2076635954005211,NA,NA,detected_only
YLR027C,AAT2,0.20738040030408833,NA,NA,detected_only
YHR024C,MAS2,0.20703882333926962,NA,NA,detected_only
YMR099C,NA,0.2068816864712496,NA,NA,detected_only
YDL178W,DLD2,0.20642323319675393,NA,NA,detected_only
YFR044C,DUG1,0.2050422292043164,NA,NA,detected_only
YPL243W,SRP68,0.2044287426650862,NA,NA,detected_only
YJR139C,HOM6,-0.2036780682869637,NA,NA,detected_only
YOR362C,PRE10,0.20316378793431694,NA,NA,detected_only
YHR183W,GND1,0.20310613905775227,NA,NA,detected_only
YFL039C,ACT1,0.20267323334292825,NA,NA,detected_only
YML078W,CPR3,0.20179007966843582,NA,NA,detected_only
YOR356W,CIR2,0.20085235081606342,NA,NA,detected_only
YOR046C,DBP5,0.20084064161001847,NA,NA,detected_only
YCL045C,EMC1,-0.20041689329799386,NA,NA,detected_only
YIL108W,YIL108W,0.20029517517522777,NA,NA,detected_only
YBR244W,GPX2,-0.20019551851130862,NA,NA,detected_only
YGR254W,ENO1,0.19936615269979754,NA,NA,detected_only
YHR039C,MSC7,-0.19884292071473722,NA,NA,detected_only
YNL067W,RPL9B,-0.19854398153921815,NA,NA,detected_only
YCR009C,RVS161,0.19635384417660703,NA,NA,detected_only
YER089C,PTC2,0.1943846459668694,NA,NA,detected_only
YDR071C,PAA1,0.1939692634934222,NA,NA,detected_only
YJR143C,PMT4,0.19327377105806182,NA,NA,detected_only
YFR052W,RPN12,0.19246729428110815,NA,NA,detected_only
YCR028C-A,RIM1,0.19220223542502976,NA,NA,detected_only
YIL065C,FIS1,0.19207307335245016,NA,NA,detected_only
YER155C,BEM2,0.19175403624300486,NA,NA,detected_only
YDR518W,EUG1,-0.19082976689740688,NA,NA,detected_only
YLR347C,KAP95,0.1902010847175208,NA,NA,detected_only
YDR346C,SVF1,-0.18981139189572238,NA,NA,detected_only
YBR164C,ARL1,-0.1893027027875886,NA,NA,detected_only
YGR240C,PFK1,0.18841227918051812,NA,NA,detected_only
YGL043W,DST1,-0.18768147456703022,NA,NA,detected_only
YGL242C,NA,-0.18746566626328326,NA,NA,detected_only
YLR028C,ADE16,0.18702472004078047,NA,NA,detected_only
YIL076W,SEC28,0.18692602371032233,NA,NA,detected_only
YNL216W,RAP1,-0.18683998454791811,NA,NA,detected_only
YLR448W,RPL6B,-0.18650729363476656,NA,NA,detected_only
YGR061C,ADE6,0.18639467696631692,NA,NA,detected_only
YNL084C,END3,-0.18618311919973218,NA,NA,detected_only
YDL126C,CDC48,-0.18576472208759015,NA,NA,detected_only
YCR093W,CDC39,-0.18574314959415328,NA,NA,detected_only
YJL172W,CPS1,0.18552875182996767,NA,NA,detected_only
YLR208W,SEC13,0.18529070841823547,NA,NA,detected_only
YOR310C,NOP58,0.18478833405049708,NA,NA,detected_only
